puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id
,8.2,Sam Gorski,-,-,-,Accion,tiny guns,tt14391250
,-,Lele Pons,-,-,-,Accion,latino hunger games,tt14449800
9,-,Rene Castro,Rene Castro,-,-,Accion,infected,tt14494936
,-,David Oeo,"['Jesús Fernández', 'David Oeo']",-,-,Accion,sandbox,tt10952728
,-,Don Thacker,Don Thacker,"Serious Sam's Bogus Detour. The latest and greatest entry in the Serious Sam indie series is the game that Serious Sam plays when he wants to chill out, max and relax all cool.",2,Accion,seriously bogue,tt14530218
,-,Kimmo Laipio,-,-,-,Accion,minun kehäni,tt14534148
,-,Don Thacker,Don Thacker,The year is 1983. The height of the cold war. Trust no one. Question everything. The fate of humanity is at stake.,4,Accion,phantom doctrine: safe house,tt14537834
,-,Dan Fowlks,Dan Fowlks,A child who collects Star Wars figurines receives his Kit Fisto figurine in the mail. Now he only lacks one to make his collection complete. A local bully hides the one that he and his best friend both need so that they are forced to fight over it. Who will win? Will their friendship survive? Who adds Yoda to his collection?,-,Accion,hunting for yoda,tt14550734
,-,Hannah Anderson,-,"Having escaped civil war from her country, Hui Ying knows pain and she's had her fill. Uncompromising and determined she has decided to take her chances, sail to America and trek through California's varying terrain in search of the Golden Mountain. As Hui Ying makes her way through the forest, she unwittingly crosses paths with a hostile creature, a manifestation of ... Leer todo",11,Accion,hui ying,tt14629804
,-,Michael Czemerys,Michael Czemerys,-,-,Accion,dream root,tt14677668
,-,Nicholas Michael Jacobs,"['Nicholas Michael Jacobs', 'Manny Williams']",-,9,Accion,capa ghostbusters: a ghostbusters fan film,tt14695386
,-,Rogue Rubin,"['Deborah Mc', 'Cormick']",-,-,Accion,check my numbers x dexcom,tt14887198
-,-,Jeffrey Frame,Jeffrey Frame,-,-,Accion,dispatched,tt14961534
,-,Pedro Andrés Suárez Ramos,"['Georgina Mejia', 'Pedro Andrés Suárez Ramos']",-,-,Accion,el paciente,tt15108278
8,-,Joseph Springer Jr.,Joseph Springer Jr.,Aura is a short film about a boy who's life spirals out of control after he fails to control his inner darkness.,32,Accion,aura,tt15134460
,-,Nick Marchuk,"['Nick Marchuk', 'Jose Chavez']",A robber breaks into an apartment which he thought was empty. He quickly encounters a problem when he finds out there was someone inside.,6,Accion,robbery intermission,tt15145180
,-,Jamal El Serwy,-,-,-,Accion,the 7 days mission,tt15155302
33,-,Prageeth Sheron,-,-,-,Accion,wanted,tt15361372
,-,"['Jesse Mc', 'Anally']","['Jesse Mc', 'Anally']",-,-,Accion,agent 241,tt15467218
,-,Dominic Hronek-Perez,Dominic Hronek-Perez,A spy who is horrible at his job is tasked to capture a jewel robber.,3,Accion,the bad spy,tt15613580
,-,Dominic Hronek-Perez,Dominic Hronek-Perez,The Bad Spy sets off to find the mysterious man who saved him by killing his assassin.,3,Accion,the bad spy 2: rise of darkness,tt15613616
,3.8,Dominic Hronek-Perez,Dominic Hronek-Perez,"The prequel to Rinjago which focuses on the childhoods of brothers, Ru and Rarmadon.",8,Accion,rinjago: origins,tt15626890
,4.4,Dominic Hronek-Perez,Dominic Hronek-Perez,Evil ensures after three kids join the dojo of a ninja master named Ru.,8,Accion,rinjago,tt15626960
,-,Jonathan Miller,Jonathan Miller,"After a successful double cross at a black market deal, a criminal becomes the number one target of a crime cartel. Testing fate, he returns home with his spoils. His whereabouts become known and the cartel closes in. Will this be one time too many playing the odds?",6,Accion,the double cross,tt15685280
,-,Alrick Brown,"['Stephen Hintz', 'Marc Novak', 'Chrishaunda Lee Perez']","In 1920, a young African-American woman sets off to Africa to find a tree that promises eternal life.",-,Accion,the forever tree,tt1774611
-,-,Michael Cutrone,Michael Cutrone,"After coming home to discover his wife murdered and daughter missing, a man desperately tries to find those responsible with the hope that his daughter might still be alive.",18,Accion,last game,tt2211664
,-,Ajit Sinha,Ajit Sinha,"The narrative revolves around a middle aged shabby drug addict guy Jumman. works as shepherd under a landlord kind of personality Khan. frustrated Jumman takes Khan's Goat into ruins field of a house and overpowered and committed unnatural sexual assault on the goat, court booked jumman under the presentation of cruelty to animal act. Khan, Villagers everybody celebra... Leer todo",15,Accion,scapegoat,tt10261326
,-,Graham Abraham,Graham Abraham,"In Cape Cod, Julie, who works at a horse farm, encounters a burglar in her home who steals an old and valuable painting. She and her closest friend Dwayne take guns with them and search for the violent thief.",40,Accion,the reaver,tt2364346
-,8.4,Cyrus Hogg,Cyrus Hogg,Time is a corrupted resource held in a bleak future. Phoenix should have died before he was born but has a gift to control the odds. With everyone he trusts now taken from his life he must harness a power born in him or time is up forever.,6,Accion,intrepid,tt2421736
26,-,Hari Kapoor,Hari Kapoor,"Set in the near future, when the entire health care system has collapsed. A poor pregnant couple, whose insurance won't cover their pregnancy risk of losing their unborn child.",21,Accion,diamonds,tt3145922
61,6.2,David Sarrio,Denys Corel,"Everyone wears a mask, who are we without it ?",15,Accion,powerless,tt3410852
50,-,Jose Mojica,Jose Mojica,"Four strangers meet to commit suicide, one wakes up covered in blood.",15,Accion,framed,tt3431458
,9.4,Marcus Harben,Dominic Watters,"Revenge, rage and regret in a uniquely Scottish combination of drama and action thriller.",23,Accion,exodus 21:24,tt3435368
,-,Dan Ballester,Dan Ballester,There is a pest problem threatening the monochromatic suburbs and only one exterminator can smoke it out with a special brand of lead poison.,7,Accion,exterminoir,tt3572868
,-,Sebastian Steins,-,"The year is 2000. The capital city Lons'n'Gelos of the newly independent state Béarn Libre, is ruled by the ruthless Baron. Inspector Ramirez is on the case of a murdered girl connected to a group know as the Gods Lost Children.",12,Accion,regardless of the heat,tt3571162
,-,Julie D. Dunn,Nathan Shepka,A girl is being held captive. Two mercenaries are hired by a Government Agency to rescue the captive. A simple recovery mission rapidly escalates into a complex conspiracy in disguise.,26,Accion,four floors,tt3684844
,-,Michael William Edwards,Michael William Edwards,"When Alice arrives late to the party she finds that the birthday girl, Marie, has been possessed by the Devil and only she can save the day.",15,Accion,alice vs. the devil,tt3777862
-,5.4,Lindsay Holt,Laura Cross,"An American photojournalist struggles with his assignment - and his emotions - when he embeds with a team of U.S. Marines during fierce urban combat in the deadliest battle of the Iraq War, the fight for Fallujah in 2004.",23,Accion,devil dogs,tt3867596
-,8.0,Gary Chason,Norman Ray Fitts,"Desperate to save his pregnant wife from being killed by a bloodthirsty member of a Mexican drug cartel, a distraught detective turns to his estranged father for the kind of help only he can give.",22,Accion,turning the hands of time,tt3953804
-,-,Seth Savoy,"['Scott Savoy', 'Seth Savoy']","WWII. The Germans have taken control of France and a Cajun-American spy, Robert, is sent on a mission that could ended WW2 early.",10,Accion,beyond the bridge,tt3978354
,-,Jill Poisson,Jill Poisson,Early morning in Egyptian Hostel A CIA Operative must decide to what do with the man she lays next to.,-,Accion,a room in cairo,tt3983608
-,-,Jason Bostic,Jason Bostic,A man goes back in time to stop an event from happening to his girlfriend.,9,Accion,on time,tt4018500
,-,"['Andy London', 'Carolyn London']","['Andy London', 'Carolyn London']","Welcome to Clam Cove, Long Island. 45 minutes from New York City. A somewhat beautiful place to raise a family, start a business or buy a hedge trimmer. A town where violent mooks and ass kickings go together like wings and beer. Come to Clam Cove! Stay a while. But bring protection.",7,Accion,highway of hell,tt4046270
,-,Luke Malone,"['Luke Malone', 'Aubrey Wehofer']",Dillon Doherty is torn between preserving his devotion to his family and following in his father's footsteps as a hitman in the newly established IRA.,31,Accion,doherty,tt4080644
,-,Louis Hanoteau,Louis Hanoteau,-,6,Accion,en taupe,tt4117116
-,6.5,Sanjay F. Sharma,Sanjay F. Sharma,"Set in a near future where Earth has been turned into a planetary ghetto by an alien species (informally called the 'Boogeys'), our story follows Jack Dawkins, a former-cop-turned-pickpocket as he tracks down a missing child about to be sold to an alien overlord. The encounter will determine the fate of the child's life, and Dawkins' redemption from the failures of hi... Leer todo",15,Accion,the boogeys,tt4125936
,8.1,Giorgos Drivas,Giorgos Drivas,"KEPLER is a newly discovered planet with supposedly, same air and ground conditions like earth.",15,Accion,kepler,tt4194846
,-,Joe Silveira Jr.,"['Chris Mackey', 'Joe Silveira Jr.Robert Silveira']",Barrett comes home after a long stint in the military to find his home town in shambles.,-,Accion,tribal black ops,tt4244776
,8.4,Raphaël Hébert,Raphaël Hébert,A medieval warrior defeats a tyrant and has doubts about his abilities to wear the crown. He asks his mage to show him the course of his future reign. The new king discovers that one's fate should not be known.,30,Accion,past and future kings,tt4273732
57,-,Amanda Aday,"['Amanda Aday', 'Christopher Heule', 'Cyrus Wilcox']",-,-,Accion,painless,tt4300228
,8.9,Samuel Jacob Pauling,Samuel Jacob Pauling,"Two brothers are forced to survive after the collapse of society, which leads them to a divine connection.",35,Accion,hardland,tt4319196
,8.6,Slater Dixon,"['Hannah Barefoot', 'Slater Dixon']","Anything can happen in the world of online dating, and everything does when a mismatched couple meets on an ill-fated blind date. Sparks fly and passion erupts; but will they kill each other, or fall in love trying?",6,Accion,incendio,tt4322622
75,8.6,"['Don De', 'Leon']","['Don De', 'Leon', 'Tommy Honton']",A young man in a domestic terrorist cell runs into an ex-girlfriend the day before he's supposed to plant a bomb in the Staples Center.,15,Accion,manifesto,tt4327866
,-,Nick Corbin,"['Nick Corbin', 'Colton Mabry', 'George Papp']","Selfish billionaire Oliver Queen finds himself on a forgotten island, where he is forced to learn how to survive for himself.",21,Accion,green arrow: the hunter,tt4389648
,8.2,Goran Gajic,Michael Beets,Complex relationship between one man and two women in an internal post apocalyptic landscape,21,Accion,beyond the wave,tt4455788
,-,Konstantin Vlas,Konstantin Vlas,"An addict goes on a search for his missing girlfriend, only to question his own sanity.",20,Accion,spoonful,tt4563530
65,-,Brian Eggleston,"['Brian Eggleston', 'Tony Lancto']",An enforcer (Kyle Clarke) is hired by an older and seemingly dangerous man (Paul Vito Abato) to retrieve a mysterious silver briefcase from a drug lord (Sensei Benny Urquidez) at all costs.,-,Accion,the exchange,tt4566898
,-,Tiffany Jackman,Tiffany Jackman,"An 8 year old who is reluctantly left at home at night by his single mother while she works, is forced to protect himself and his little brother when dangerous intruders break into the house.",8,Accion,little big men,tt4572162
,4.9,Leroy Kincaide,Leroy Kincaide,"Blocking out the shadows of his past Max Payne is unexpectedly confronted by former friend and love interest Mona Sax, who reveals vital information that can bring down drug lord Jack Lupino.",43,Accion,max payne: retribution,tt4581198
,6.4,"['Tamas Nadas', 'Eric Martinez']","['Erika J. Kovacs', 'Robert Toth', 'Ron Weisberg']","Set in the present time, Busy Day tells the story of a former underworld enforcer whose life has taken a dramatic turn after he marries and becomes domesticated. After opening a successful bar and fostering dreams of becoming a performing musician, his life is thrown into chaos when deadly ghosts from his past begin to resurface.",27,Accion,busy day,tt4635978
,-,Gus Scharr,Gus Scharr,Just another day for Ralph... A day in which the monotony and stress of daily living will drive him to decide that TODAY IS THE DAY to end things differently...and perhaps FOREVER.,6,Accion,one last drag,tt4675778
,-,Rob Maxwell,Rob Maxwell,"Hannah Martin is your everyday girl. She has a normal job (checkout girl), a lovely boyfriend (Rocky) and a cool best friend (Laura). After Rocky is attacked one night by a gang that is terrorizing Manchester, she decides she's had enough and transforms herself into STRETCHY. With the help of her loyal best friend (Laura/Puma) and boyfriend (Rocky/The Jewel) and frien... Leer todo",37,Accion,stretchy,tt4693288
,-,Zachary Strobel,Zachary Strobel,Jimmy Giraffe gets revenge on a con artist posing as a park security guard.,-,Accion,private parks,tt4722960
,-,-,-,Ver la información de la producción en IMDbPro,-,Accion,captain watford 2,tt4726234
,3.2,-,John Scamehorn,"In the United States in 2010, a misogynistic, totalitarian regime has created a century of peace and prosperity - the Pax Masculina. The Womans Resistance movement violently opposed the government as they fight for equality..",-,Accion,pax masculina,tt4738230
,8.2,Azeem Mustafa,Azeem Mustafa,-,-,Accion,battle creek hackney,tt4774632
,-,Tim Sharp,Tim Sharp,"A surrealist journey through a life of violence and vaudeville music, and they effect they both have on one family.",12,Accion,imperial,tt4786616
,-,Alejandro Garcia,Alejandro Garcia,An everyday man suddenly finds himself in a problem bigger than himself. Now he has to find a way out of it.,-,Accion,circunstancial,tt4790460
,-,Emily Mathason,Johnathon L. Jackson,"Choosing between saving one life and hundreds of lives should be easy, unless that one life is your daughters",28,Accion,a fathers love,tt4811382
,8.6,Linh Nga,Linh Nga,"A heroic man, Atrocious Tran (Duc Tien) dropped everything to rescue a beauty (Teresa Mai) in the middle of nowhere, then pursued by a tyrannical dwarf (Be Ti) and his deputies, forced him to survive using his combat skills.",30,Accion,what's the good of being good?,tt4842340
